nominal;data;curs;cdx
1;05.10.2021;72,9239;ДолларСША
1;02.10.2021;72,9215;ДолларСША
1;01.10.2021;72,6642;ДолларСША
1;30.09.2021;72,7608;ДолларСША
1;29.09.2021;72,5083;ДолларСША
1;28.09.2021;72,6613;ДолларСША
1;25.09.2021;73,0081;ДолларСША
1;24.09.2021;72,7245;ДолларСША
1;23.09.2021;72,8806;ДолларСША
1;22.09.2021;73,2067;ДолларСША
1;21.09.2021;73,3315;ДолларСША
1;18.09.2021;72,5602;ДолларСША
1;17.09.2021;72,4329;ДолларСША
1;16.09.2021;72,852;ДолларСША
1;15.09.2021;72,7171;ДолларСША
1;14.09.2021;73,0841;ДолларСША
1;11.09.2021;72,76;ДолларСША
1;10.09.2021;73,129;ДолларСША
1;09.09.2021;73,4421;ДолларСША
1;08.09.2021;73,1909;ДолларСША
1;07.09.2021;72,9538;ДолларСША
1;04.09.2021;72,8545;ДолларСША
1;03.09.2021;72,8491;ДолларСША
1;02.09.2021;73,1912;ДолларСША
1;01.09.2021;73,2781;ДолларСША
1;31.08.2021;73,5744;ДолларСША
1;28.08.2021;73,9866;ДолларСША
1;27.08.2021;73,9908;ДолларСША
1;26.08.2021;73,7428;ДолларСША
1;25.08.2021;73,9465;ДолларСША
1;24.08.2021;74,0666;ДолларСША
1;21.08.2021;74,364;ДолларСША
1;20.08.2021;74,1503;ДолларСША
1;19.08.2021;73,4633;ДолларСША
1;18.08.2021;73,4753;ДолларСША
1;17.08.2021;73,392;ДолларСША
1;14.08.2021;73,4721;ДолларСША
1;13.08.2021;73,5671;ДолларСША
1;12.08.2021;73,9695;ДолларСША
1;11.08.2021;73,5962;ДолларСША
1;10.08.2021;73,5078;ДолларСША
1;07.08.2021;73,1304;ДолларСША
1;06.08.2021;73,168;ДолларСША
1;05.08.2021;72,7857;ДолларСША
1;04.08.2021;72,8724;ДолларСША
1;03.08.2021;73,0156;ДолларСША
1;31.07.2021;73,1388;ДолларСША
1;30.07.2021;73,1904;ДолларСША
1;29.07.2021;73,6088;ДолларСША
1;28.07.2021;73,8471;ДолларСША
1;27.07.2021;74,098;ДолларСША
1;24.07.2021;73,7663;ДолларСША
1;23.07.2021;73,6945;ДолларСША
1;22.07.2021;74,4947;ДолларСША
1;21.07.2021;74,491;ДолларСША
1;20.07.2021;74,3463;ДолларСША
1;17.07.2021;74,1656;ДолларСША
1;16.07.2021;74,2197;ДолларСША
1;15.07.2021;74,1236;ДолларСША
1;14.07.2021;74,0589;ДолларСША
1;13.07.2021;74,6336;ДолларСША
1;10.07.2021;74,4675;ДолларСША
1;09.07.2021;75,1952;ДолларСША
1;08.07.2021;74,058;ДолларСША
1;07.07.2021;73,266;ДолларСША
1;06.07.2021;73,354;ДолларСША
1;03.07.2021;73,6175;ДолларСША
1;02.07.2021;72,9086;ДолларСША
1;01.07.2021;72,7234;ДолларСША
1;30.06.2021;72,3723;ДолларСША
1;29.06.2021;72,1777;ДолларСША
1;26.06.2021;72,1694;ДолларСША
1;25.06.2021;72,326;ДолларСША
1;24.06.2021;72,6671;ДолларСША
1;23.06.2021;73,1661;ДолларСША
1;22.06.2021;73,1987;ДолларСША
1;19.06.2021;72,2216;ДолларСША
1;18.06.2021;72,5048;ДолларСША
1;17.06.2021;72,0323;ДолларСША
1;16.06.2021;71,8318;ДолларСША
1;12.06.2021;71,6797;ДолларСША
1;11.06.2021;72,1974;ДолларСША
1;10.06.2021;72,0829;ДолларСША
1;09.06.2021;72,8256;ДолларСША
1;08.06.2021;72,9294;ДолларСША
1;05.06.2021;73,2721;ДолларСША
1;04.06.2021;73,2636;ДолларСША
1;03.06.2021;73,4979;ДолларСША
1;02.06.2021;73,2411;ДолларСША
1;01.06.2021;73,2965;ДолларСША
1;29.05.2021;73,587;ДолларСША
1;28.05.2021;73,458;ДолларСША
1;27.05.2021;73,4737;ДолларСША
1;26.05.2021;73,3963;ДолларСША
1;25.05.2021;73,5266;ДолларСША
1;22.05.2021;73,5803;ДолларСША
1;21.05.2021;73,6007;ДолларСША
1;20.05.2021;73,6778;ДолларСША
1;19.05.2021;73,6992;ДолларСША
1;18.05.2021;73,8537;ДолларСША
1;15.05.2021;73,9968;ДолларСША
1;14.05.2021;74,3566;ДолларСША
1;13.05.2021;74,04;ДолларСША
1;12.05.2021;74,1567;ДолларСША
1;08.05.2021;74,1373;ДолларСША
1;07.05.2021;74,577;ДолларСША
1;06.05.2021;74,8617;ДолларСША
1;05.05.2021;75,2567;ДолларСША
1;01.05.2021;74,8451;ДолларСША
1;30.04.2021;74,3823;ДолларСША
1;29.04.2021;74,939;ДолларСША
1;28.04.2021;74,9578;ДолларСША
1;27.04.2021;74,768;ДолларСША
1;24.04.2021;75,0893;ДолларСША
1;23.04.2021;76,4217;ДолларСША
1;22.04.2021;76,8198;ДолларСША
1;21.04.2021;76,0155;ДолларСША
1;20.04.2021;76,2491;ДолларСША
1;17.04.2021;75,5535;ДолларСША
1;16.04.2021;76,9808;ДолларСША
1;15.04.2021;75,6826;ДолларСША
1;14.04.2021;77,2535;ДолларСША
1;13.04.2021;77,5104;ДолларСША
1;10.04.2021;77,1657;ДолларСША
1;09.04.2021;77,1011;ДолларСША
1;08.04.2021;77,773;ДолларСША
1;07.04.2021;76,3802;ДолларСША
1;06.04.2021;76,6052;ДолларСША
1;03.04.2021;76,0734;ДолларСША
1;02.04.2021;75,8073;ДолларСША
1;01.04.2021;75,6373;ДолларСША
1;31.03.2021;75,7023;ДолларСША
1;30.03.2021;75,8287;ДолларСША
1;27.03.2021;75,7576;ДолларСША
1;26.03.2021;76,1741;ДолларСША
1;25.03.2021;76,1535;ДолларСША
1;24.03.2021;75,3585;ДолларСША
1;23.03.2021;74,6085;ДолларСША
1;20.03.2021;74,139;ДолларСША
1;19.03.2021;73,6582;ДолларСША
1;18.03.2021;73,1019;ДолларСША
1;17.03.2021;72,9619;ДолларСША
1;16.03.2021;73,2317;ДолларСША
1;13.03.2021;73,5081;ДолларСША
1;12.03.2021;73,4996;ДолларСША
1;11.03.2021;74,0393;ДолларСША
1;10.03.2021;74,264;ДолларСША
1;06.03.2021;74,4275;ДолларСША
1;05.03.2021;73,7864;ДолларСША
1;04.03.2021;73,5187;ДолларСША
1;03.03.2021;74,5755;ДолларСША
1;02.03.2021;74,0448;ДолларСША
1;27.02.2021;74,4373;ДолларСША
1;26.02.2021;73,4747;ДолларСША
1;25.02.2021;73,7532;ДолларСША
1;21.02.2021;73,9833;ДолларСША
1;20.02.2021;73,9717;ДолларСША
1;19.02.2021;73,7755;ДолларСША
1;18.02.2021;73,7669;ДолларСША
1;17.02.2021;73,2895;ДолларСША
1;16.02.2021;73,3092;ДолларСША
1;13.02.2021;73,9378;ДолларСША
1;12.02.2021;73,7579;ДолларСША
1;11.02.2021;73,8526;ДолларСША
